old_path,new_path,type,status
/a--build-greener-economy-bhutan-wants-go-organic-2020,/news/-build-greener-economy-bhutan-wants-go-organic-2020,article,301
/a--burden-lifted-why-one-county-wiped-out-millions-jail-debt,/news/-burden-lifted-why-one-county-wiped-out-millions-jail-debt,article,301
/a--business-9-women-kept-secret-three-decades,/news/-business-9-women-kept-secret-three-decades,article,301
/a--business-lobby-presses-agenda-before-08-vote,/news/-business-lobby-presses-agenda-before-08-vote,article,301
/a--business-war-google-employees-protest-work-the-pentagon,/news/-business-war-google-employees-protest-work-the-pentagon,article,301
/a--butterflies-liberia-transforming-lives-former-child-soldiers,/news/-butterflies-liberia-transforming-lives-former-child-soldiers,article,301
/a--california-town-paying-its-homeless-clean-their-encampment-sites,/news/-california-town-paying-its-homeless-clean-their-encampment-sites,article,301
/a--canadian-businessman-who-sponsored-200-refugees,/news/-canadian-businessman-who-sponsored-200-refugees,article,301
/a--canadian-manifesto-the-planet-one-another-,/news/-canadian-manifesto-the-planet-one-another-,article,301
/a--canadian-study-gave-7500-homeless-people-heres-how-they-spent-it,/news/-canadian-study-gave-7500-homeless-people-heres-how-they-spent-it,article,301
/a--cancer-patient-who-inspired-french-movement-block-reintroduction-pesticide,/news/-cancer-patient-who-inspired-french-movement-block-reintroduction-pesticide,article,301
/a--cancer-trials-unexpected-result-remission-every-patient,/news/-cancer-trials-unexpected-result-remission-every-patient,article,301
/a--captain-operation-warp-speed,/news/-captain-operation-warp-speed,article,301
/a--carbon-pirates-preying-amazons-indigenous-communities,/news/-carbon-pirates-preying-amazons-indigenous-communities,article,301
/a--carbon-tax-killed-coal-the-uk-natural-gas-next,/news/-carbon-tax-killed-coal-the-uk-natural-gas-next,article,301
/a--cartel-never-existedexcept-when-washington-needed-it,/news/-cartel-never-existedexcept-when-washington-needed-it,article,301
/a--case-brought-school-speech-pathologist-texas-federal-court-becomes-third-strike-down-proisrael-oath-as-unconstitutional,/news/-case-brought-school-speech-pathologist-texas-federal-court-becomes-third-strike-down-proisrael-oath-as-unconstitutional,article,301
/a--case-killed-metoo-sweden,/news/-case-killed-metoo-sweden,article,301
/a--case-labeling-gmos,/news/-case-labeling-gmos,article,301
/a--case-prop-37,/news/-case-prop-37,article,301
/a--case-starting-sex-education-kindergarten,/news/-case-starting-sex-education-kindergarten,article,301
